text,label,channel,platform,source
"Huh, anyway check out this you[tube] channel: kobyoshi02",phishing,social,youtube,Youtube01-Psy
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",phishing,social,youtube,Youtube01-Psy
just for test I have to say murdev.com,phishing,social,youtube,Youtube01-Psy
me shaking my sexy ass on my channel enjoy ^_^ ﻿,phishing,social,youtube,Youtube01-Psy
watch?v=vtaRGgvGtWQ   Check this out .﻿,phishing,social,youtube,Youtube01-Psy
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",phishing,social,youtube,Youtube01-Psy
Subscribe to my channel ﻿,phishing,social,youtube,Youtube01-Psy
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,legitimate,social,youtube,Youtube01-Psy
You should check my channel for Funny VIDEOS!!﻿,phishing,social,youtube,Youtube01-Psy
and u should.d check my channel and tell me what I should do next!﻿,phishing,social,youtube,Youtube01-Psy
Hey subscribe to me﻿,phishing,social,youtube,Youtube01-Psy
Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,phishing,social,youtube,Youtube01-Psy
https://twitter.com/GBphotographyGB﻿,phishing,social,youtube,Youtube01-Psy
subscribe like comment﻿,phishing,social,youtube,Youtube01-Psy
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,phishing,social,youtube,Youtube01-Psy
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",phishing,social,youtube,Youtube01-Psy
I'm only checking the views﻿,legitimate,social,youtube,Youtube01-Psy
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,phishing,social,youtube,Youtube01-Psy
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,phishing,social,youtube,Youtube01-Psy
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",phishing,social,youtube,Youtube01-Psy
i think about 100 millions of the views come from people who only wanted to  check the views﻿,legitimate,social,youtube,Youtube01-Psy
subscribe to my channel people :D﻿,phishing,social,youtube,Youtube01-Psy
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,phishing,social,youtube,Youtube01-Psy
just checking the views﻿,legitimate,social,youtube,Youtube01-Psy
CHECK OUT MY CHANNEL,phishing,social,youtube,Youtube01-Psy
marketglory . com/strategygame/andrijamatf earn real money from game,phishing,social,youtube,Youtube01-Psy
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,phishing,social,youtube,Youtube01-Psy
Check me out! I'm kyle. I rap so yeah ﻿,phishing,social,youtube,Youtube01-Psy
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,legitimate,social,youtube,Youtube01-Psy
"Subscribe to me for free Android games, apps.. ﻿",phishing,social,youtube,Youtube01-Psy
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,phishing,social,youtube,Youtube01-Psy
"Came here to check the views, goodbye.﻿",legitimate,social,youtube,Youtube01-Psy
sub my channel for no reason -_-﻿,phishing,social,youtube,Youtube01-Psy
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",phishing,social,youtube,Youtube01-Psy
2 billion....Coming soon﻿,legitimate,social,youtube,Youtube01-Psy
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,legitimate,social,youtube,Youtube01-Psy
Check my channel please! And listen to the best music ever :P﻿,phishing,social,youtube,Youtube01-Psy
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,phishing,social,youtube,Youtube01-Psy
"Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",phishing,social,youtube,Youtube01-Psy
"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",phishing,social,youtube,Youtube01-Psy
YouTube/codytolleson for awesome videos I'll subscribe back ﻿,phishing,social,youtube,Youtube01-Psy
if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,phishing,social,youtube,Youtube01-Psy
SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,phishing,social,youtube,Youtube01-Psy
http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,phishing,social,youtube,Youtube01-Psy
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",phishing,social,youtube,Youtube01-Psy
....subscribe......  ......to my........  .....channel.......﻿,phishing,social,youtube,Youtube01-Psy
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",legitimate,social,youtube,Youtube01-Psy
